id;name;code;level;parent_id
1;United Arab Emirate;1;0;null
2;Dubai;2;1;1
3;Ajman;3;1;1
4;Abu Dhabi;4;1;1
5;Sharjah;5;1;1
6;Al Ain;6;1;1
7;Ras Al Khaimah;7;1;1
8;Fujairah;8;1;1
9;Umm Al Quwain;9;1;1
10;Other;10;1;1
3010782;شهر دهج;3010782;5;3001644
3010785;شهر مردهک;3010785;5;3001647
3010810;شهر فهرج;3010810;5;3001669
3010786;شهر قلعه گنج;3010786;5;3001648
3010548;شهر امیریه;3010548;5;3001428
3010547;شهر کلاته;3010547;5;3001427
3010554;شهر مجن;3010554;5;3001432
3010559;شهر ایوانکی;3010559;5;3001437
3010564;شهر بزمان;3010564;5;3001441
3010581;شهر زهک;3010581;5;3001460
3010586;شهر جالق;3010586;5;3001464
3010821;شهر جوانرود;3010821;5;3001680
3010824;شهر روانسر;3010824;5;3001684
3010964;شهر بابل;3010964;5;3001821
3010975;شهر رستمکلا;3010975;5;3001830
3011025;شهر نراق;3011025;5;3001876
3011027;شهر خشکرود;3011027;5;3001877
3011043;شهر فرمهین;3011043;5;3001889
3011041;شهر محلات;3011041;5;3001887
3011042;شهر نیمور;3011042;5;3001887
3011086;شهر کبودرآهنگ;3011086;5;3001937
3010319;شهر اردل;3010319;5;3001229
3023024;شهر دشتک;3023024;5;3001229
3010325;شهر گندمان;3010325;5;3001233
3010326;شهر کرد;3010326;5;3001234
3010330;شهر نافچ;3010330;5;3001234
3011106;شهر اردکان;3011106;5;3001954
3022951;شهر تازیان پائین;3022951;5;3001898
3022840;شهر کوهستک;3022840;5;3001916
3011070;شهر هرمز;3011070;5;3001919
3011071;شهر میناب;3011071;5;3001920
3022879;شهر تاتار علیا;3022879;5;3001728
3010891;شهر خشکبیجار;3010891;5;3001755
3010895;شهر لولمان;3010895;5;3001758
3010904;شهر توتکابن;3010904;5;3001764
3010910;شهر واجارگاه;3010910;5;3001769
3010504;شهر حر;3010504;5;3001392
3022938;شهر سرداران;3022938;5;3001395
3010639;شهر جدید صدرا;3010639;5;3001513
3010644;شهر فراشبند;3010644;5;3001516
3010582;شهر سراوان;3010582;5;3001462
3010590;شهر سوران;3010590;5;3001469
3023085;شهر محمد آباد;3023085;5;3002760
3010066;شهر سیمینه;3010066;5;3001052
3010219;شهر بادرود;3010219;5;3001154
3010220;شهر خالدآباد;3010220;5;3001154
3011129;شهر جدید هشتگرد;3011129;5;3001976
3011136;شهر کمال شهر;3011136;5;3001981
3010254;شهر برازجان;3010254;5;3001182
3022810;شهر بادوله;3022810;5;3001190
3022997;شهر نخل تقی;3022997;5;3002751
3010256;شهر تنگ ارم;3010256;5;3001183
3022809;شهر بوشکان;3022809;5;3001184
3010259;شهر وحدتیه;3010259;5;3001185
3010269;شهر بندر دیلم;3010269;5;3001193
3010276;شهر بندر گناوه;3010276;5;3001197
3010224;شهر آبدانان;3010224;5;3001156
3010177;شهر بوئین ومیاندشت;3010177;5;3001136
3010688;شهر مشکان;3010688;5;3001555
3010697;شهر شریفیه;3010697;5;3001566
3010601;شهر ایزدخواست;3010601;5;3001480
3010607;شهر ایج;3010607;5;3001482
3010611;شهر دژکرد;3010611;5;3001486
3010612;شهر سده;3010612;5;3001486
3010614;شهر حسامی;3010614;5;3001488
3010690;شهر خرامه;3010690;5;3001557
3010721;شهر جعفریه;3010721;5;3001584
3010742;شهر سریش آباد;3010742;5;3001608
3010807;شهر انار;3010807;5;3001664
3010781;شهر جوزم;3010781;5;3001644
3010455;شهر شیروان;3010455;5;3001347
3010370;شهر آرین شهر;3010370;5;3001266
3010493;شهر میانرود;3010493;5;3001381
3022963;شهر آزادی;3022963;5;3001363
3010926;شهر رودبنه;3010926;5;3001784
3010779;شهر خورسند;3010779;5;3001643
3010052;شهر آقکند;3010052;5;3001036
3011111;شهر هرات;3011111;5;3001961
3010864;شهر نو کنده;3010864;5;3001725
3010148;شهر حبیب آباد;3010148;5;3001122
3022685;شهر اصغرآباد;3022685;5;3001127
3010092;شهر بازرگان;3010092;5;3001076
3010056;شهر خاروانا;3010056;5;3001040
3010004;شهر جدید سهند;3010004;5;3001003
3010010;شهر بناب;3010010;5;3001009
3010260;شهر شبانکاره;3010260;5;3001186
3010271;شهر بندر کنگان;3010271;5;3001195
3010183;شهر فلاورجان;3010183;5;3001138
3010202;شهر باغ بهادران;3010202;5;3001146
3010203;شهر چرمهین;3010203;5;3001146
3010198;شهر زرین شهر;3010198;5;3001145
3010204;شهر دیزیچه;3010204;5;3001147
3023076;شهر شمشک;3023076;5;3001215
3010308;شهر ارجمند;3010308;5;3001218
3010038;شهر مرند;3010038;5;3001025
3010049;شهر ملکان;3010049;5;3001033
3010401;شهر کندر;3010401;5;3001297
3010402;شهر خواف;3010402;5;3001298
3010408;شهر چاپشلو;3010408;5;3001303
3023079;شهر جدید پردیس;3023079;5;3002739
3010289;شهر آبعلی;3010289;5;3001207
3010286;شهر آبسرد;3010286;5;3001206
3010294;شهر حسن آباد;3010294;5;3001210
3010431;شهر گناباد;3010431;5;3001324
3010447;شهر اسفراین;3010447;5;3001339
3022929;شهر شهر امام;3022929;5;3001381
3010498;شهر بستان;3010498;5;3001386
3010156;شهر خمینی شهر;3010156;5;3001127
3010437;شهر شادمهر;3010437;5;3001330
3010442;شهر قدمگاه;3010442;5;3001332
3010516;شهر سماله;3010516;5;3001398
3010530;شهر سلطانیه;3010530;5;3001412
