id;name;start_date;end_date;activation_status_class_id;infrastructure_benefit;extra_benefit
1;infill joyously;2023-12-27;2023-12-28;4785;8470.33;4775.47
2;despite poncho despite;2023-12-28;2023-12-27;15804;30574.53;9742.73
3;gah;2023-12-28;2023-12-28;12383;14533.6;11092.54
4;oh;2023-12-28;2023-12-27;3962;6756.47;31846.14
5;cruel estate;2023-12-27;2023-12-27;19959;16127.77;14479.89
6;although;2023-12-28;2023-12-28;30370;8132.21;28978.28
7;along;2023-12-27;2023-12-28;19937;9106.92;9395.8
8;immure;2023-12-28;2023-12-28;27520;2419.05;28886.58
9;yuck oof;2023-12-28;2023-12-27;19111;31982.02;19561.6
10;psst foolish cocoa;2023-12-28;2023-12-28;28018;19871.74;23683.67
