id;title;code;has_child;level;keywords;description
1;elegantly very midst;murky;false;1302;yum certification creamy;section
2;kite;simple far;false;31630;amidst;like boo
3;confiscate;scour;true;23790;incidentally;oof
4;whoa supposing;ha;false;22756;shackle;shriek
5;dazzling phew subcomponent;wrought;true;27809;international successfully fail;by
6;petty;relocate i;true;12470;certainly;front fully
7;though forenenst ziggurat;per;true;27008;at playfully;soap next stratify
8;yum;fooey;true;18965;transportation among;rigidly
9;ew scope but;ack;false;2629;viciously overdose;majestically putrid clown
10;circa bony initial;um trivial;false;4383;fair step-son quick-witted;abaft armour
