id;title;class_code;description;language_class_id;class_type_id
1;partially save;down phooey hardboard;aside shopping;16594;1
2;blank oof now;between prolong from;without aboard commonly;2684;2
3;useful;free;finally colorfully plug;3978;3
4;that;and mute supposing;that fatally;31357;4
5;lettuce separate;for;timely;21253;5
6;yieldingly incidentally earmark;instead;deracinate as bark;13225;6
7;hence grease;if;view tunic heavily;20391;7
8;aha corrupt mustache;mortally bustling iridesc;daintily;14303;8
9;loftily;limping suspiciously high;since while installation;28265;9
10;envelope provided;wherever careless wrench;pish yowza jackknife;898;10
