id;contact_value;type_class_id;prefix;description
1;bear;19376;underne;plus hairy
2;second journey;32062;persona;very daintily
3;seethe striped during;11805;usually;boatyard justly
4;hard-hat brr;25121;harmful;few painfully resect
5;yahoo transplant hence;29917;onion;a for helplessly
6;feminine better before;29309;brr moo;vastly gadzooks dutiful
7;provided paradise swell;31350;fooey;rick
8;yum uh-huh without;10268;unless ;down
9;what aha giant;15947;roll wh;gee stupendous fooey
10;considering into;31958;hence;discount even coliseum
