id;title;factor_code;last_status_class_id;payment_state_class_id;category_class_id;total_price;discount;discount_code;final_tax;payable;description;location_id
1;babyish;kindhearted;29634;31896;17899;28728.72;21813.53;inasmuch where mincemeat;6919.65;23403.27;indeed gah;1
2;finally interesting;gleefully;11878;8565;25129;22114.13;17443.92;patiently nearly before;6031.52;1836.42;testy hmph;2
3;racing;crisp circa ferociously;19999;21825;9543;11688.52;31343.89;unless hm;19055.45;15066;inveigle;3
4;aggravating galvanise;breakpoint pie detonate;14298;7541;26064;28597.67;5952.32;spark fret;12260.87;32168.7;drat ouch;4
5;ew fervently;aid till;21233;2656;887;14463.21;9379.06;aha dimly finally;19056.85;5764.53;once excepting subconscious;5
6;once;chair with boohoo;20541;15031;27986;9259.29;16371.78;freelance corn;21092.85;30815.15;engulf;6
7;inasmuch reluctantly;react tattered;31696;20871;13558;30187.62;18251.69;ha officially;19620.89;17041.61;clamp;7
8;premeditation gah;tepid;30189;21569;8574;15943;7175.39;devoted;9864.94;24683.49;huzzah;8
9;slough well-groomed duh;candid geez weakly;17726;2858;15957;31620.92;31390.72;although;6264.31;25483.23;of;9
10;yippee barring athwart;congregation underline yawn;14051;11971;28064;24994.44;23023.4;kiddingly;23556.96;665.92;why range insubstantial;10
