id;row_num;title;count;discount;tax;description;factor_id;product_id
1;22847;happily;16945;18757.85;2200.5;positively;1;1
2;16446;rubbery if sedately;28978;25964.6;6263.1;whose;2;2
3;30980;truck than dependent;13659;13437.12;10754.46;bah beyond after;3;3
4;27607;for;894;5845.07;13483.35;yet;4;4
5;12280;circa yogurt;1607;14672.6;19287.85;those owlishly;5;5
6;5901;boohoo creator mysteriously;6794;11076.51;23904.73;formamide solemnly dearly;6;6
7;6057;suspension comply gloom;6232;12207.67;459.39;lettuce despite shoe-horn;7;7
8;18530;demanding closely;8426;15645.39;26322.04;kooky as;8;8
9;16927;hake excepting;5675;979.43;4281.73;flippant;9;9
10;11617;er;12680;12736.16;26024.91;clone science given;10;10
