id;type_class_id;title;lat;lon;street_1;street_2;street_3;building_no;building_name;floor;unit;postal_code;other;geo_division_id
1;1403;yahoo tiny onto;22939.77;16782.73;the private herring;brr;bedrock woot vascular;4527;who;2391;7516;surprisingly;anenst;1
2;22052;neonate minus tart;22897.43;26702.38;cane redress;mysteriously gah supposing;gigantism;472;a supposing who;21097;30888;responsible ;below preserves;2
3;12979;allocation huzzah history;167.37;7988.82;how;which;earring;27130;a whoever;19134;26382;shiny;potentially where;3
4;31246;recklessly trampoline;25437.67;4703.33;midst;ouch limply;provided tenderize gratefully;31926;criticise;6840;4746;how ah dress;but;4
5;17904;minus openly;9123.85;1005.42;aha how;hmph after pesky;transparency hmph against;8159;ambiguity throughout;32744;24409;deceivingly;tongue;5
6;1314;bucket;26188.71;29299.7;aside;when meh thoroughly;chronicle;14060;victoriously dreamily;1419;20276;worth;heel;6
7;22158;over;2804.93;11519.68;idolized;strictly whopping;penguin over considering;9576;justly;7530;10369;including;triumphantly;7
8;3251;giant imagine;16493.9;21773.91;scarce;cloak;frivolous software quietly;26361;dub chops;2126;10938;yowza coolly;each while;8
9;10466;kindly;18024.79;28258.03;ferociously;concerning considering;hm;24666;suspiciously map;6582;10552;where apropo;that meanwhile;9
10;16576;qua gosh difference;31385.97;4527.69;failing;till harmful;plump lest monstrous;621;uh-huh;30458;30288;bank abaft j;amid frantically;10
