id;title;party_code;trade_title;activation_date;expiration_date;activation_status;photo;photo_content_type;person_type
1;vinegar biodegrade;contest fooey;sudden knottily;2023-12-27;2023-12-27;true;../fake-data/blob/hipster.png;image/png;true
2;nor whose;gosh daring;mutiny;2023-12-27;2023-12-28;false;../fake-data/blob/hipster.png;image/png;true
3;max yowza gall-bladder;down pickle terrify;carelessly frenetically exactly;2023-12-27;2023-12-27;false;../fake-data/blob/hipster.png;image/png;true
4;index;monthly;attractive calm trivial;2023-12-27;2023-12-28;false;../fake-data/blob/hipster.png;image/png;false
5;between;reorganisation;honestly;2023-12-27;2023-12-28;false;../fake-data/blob/hipster.png;image/png;true
6;nix unexpectedly eclipse;designation loosely;ill-fated shalt provided;2023-12-27;2023-12-28;true;../fake-data/blob/hipster.png;image/png;false
7;bah pro helplessly;and incidentally;since brr goldfish;2023-12-28;2023-12-28;false;../fake-data/blob/hipster.png;image/png;true
8;defiantly;moist craft;implicate worst;2023-12-28;2023-12-27;false;../fake-data/blob/hipster.png;image/png;true
9;gah outside woot;ouch brr poorly;when and;2023-12-28;2023-12-28;false;../fake-data/blob/hipster.png;image/png;false
10;consequently shelf though;following series apropos;ouch;2023-12-27;2023-12-28;false;../fake-data/blob/hipster.png;image/png;true
