id;name;type_class_id;brand_class_id;sizee;regular_size_class_id;language_class_id;description;keywords;photo_1;photo_1_content_type;count;discount;original_price;final_price;publish_date;transport_date;currency_class_id;bonus;warranty_class_id;delivery_place_class_id;payment_place_class_id;performance;originality_class_id;satisfaction;used;category_id;party_id;product_id;price_id;campaign_id
1;tablecloth;6295;9469;unimpressively requisition;11418;2287;which vice;continually phew;../fake-data/blob/hipster.png;image/png;29439.11;5538.51;2978.3;16788.39;2023-12-27;2023-12-27;14992;4985.88;20649;27899;8345;WELL;3346;25065.46;true;26393;17368;19864;17492;12902
2;which;20373;31347;positively forceful;2958;28114;versus;globalise;../fake-data/blob/hipster.png;image/png;5352.39;24687.15;16424.12;23592.55;2023-12-28;2023-12-28;20419;17503.22;13100;14570;10166;MIDDLE;32307;18116.3;true;30922;16196;9009;2016;4514
3;usefully kookily;26961;14361;er for;32013;32657;phooey frantically;drat;../fake-data/blob/hipster.png;image/png;7073.63;2374.61;27748.69;20422.42;2023-12-28;2023-12-27;15953;25822.75;4899;23418;20948;MIDDLE;13944;3910.17;false;4970;24217;19783;10753;7925
4;geez;13702;4111;inquisitively pup;30996;30205;cocoon;angstrom flee pfft;../fake-data/blob/hipster.png;image/png;2886.57;16463.55;31036.15;25090.04;2023-12-28;2023-12-28;16055;30043.01;17081;31228;22660;WEAK;19330;22555.29;true;1446;446;4449;26016;9081
5;vouchsafe prefix;32084;12719;wisely or polished;15184;1089;physical icing;upbeat phooey;../fake-data/blob/hipster.png;image/png;19078.38;13995.81;94.85;22816.23;2023-12-28;2023-12-28;4735;10471.76;30293;17989;28180;MIDDLE;25237;27268.64;false;2193;29208;14865;13298;22498
6;odyssey earring;20175;10358;ugh gripping cumbersome;7450;20625;intently insecure court;per sectional;../fake-data/blob/hipster.png;image/png;3797.44;13170.59;31800.18;19138.05;2023-12-28;2023-12-28;22708;27833.13;31641;22436;24233;WELL;20950;32584.35;true;15707;12170;1424;16404;31144
7;tool buzz or;5882;12121;gleefully;4658;20822;carelessly;darkness;../fake-data/blob/hipster.png;image/png;2264.01;18422.5;29178.13;27686.9;2023-12-27;2023-12-28;27144;2785.96;31524;8661;10116;EXCELLENT;2332;18711.73;false;18626;21781;17650;17119;6923
8;huzzah single;21020;11366;spray excluding bludgeon;10404;11850;crook subprime overbook;instead defendant strong;../fake-data/blob/hipster.png;image/png;912.68;11109.1;1827.38;13116.96;2023-12-27;2023-12-28;26557;16605.22;20063;24042;10062;WELL;1040;7103.46;true;18414;10625;23986;4365;31718
9;nor gee;8585;31044;barring inferior;20714;5584;qua;inwardly perfectly innocently;../fake-data/blob/hipster.png;image/png;26756.91;6590.91;7552.02;16337.7;2023-12-28;2023-12-27;2359;28638.61;7108;23715;21551;WEAK;28847;22729.65;true;2963;18856;2188;23893;5276
10;times finally;1079;24936;nearly illiterate scrap;32117;24892;dispute nor yearningly;likewise mysterious;../fake-data/blob/hipster.png;image/png;3991.96;30994.15;4198.98;5581.15;2023-12-28;2023-12-27;21047;11954.75;25900;19023;14473;WEAK;11500;5541.26;true;12129;19802;2450;28274;31282
