id;name;type_class_id;brand_class_id;sizee;regular_size_class_id;language_class_id;description;keywords;photo_1;photo_1_content_type;nationality_class_id;count;discount;original_price;final_price;publish_date;transport_date;currency_class_id;bonus;warranty_class_id;delivery_place_class_id;payment_place_class_id;performance;originality_class_id;satisfaction;used;category_id
1;phooey cobble;12839;24468;modulo in now;11807;13967;self-assured;afore;../fake-data/blob/hipster.png;image/png;17574;24740.68;15945.63;21960.52;15799.78;2023-12-28;2023-12-27;24200;6388.38;18215;22563;16127;VERY_WEAK;14117;29339.66;true;1
2;headhunt;28610;4242;apud tensely;31912;27892;thirsty;as custody arrogantly;../fake-data/blob/hipster.png;image/png;8861;1082.95;22839.89;20657.29;14942.54;2023-12-27;2023-12-27;21561;8031.63;24310;27150;28006;WEAK;28661;27316.86;false;2
3;between oh;26912;21941;so;10487;1707;flustered;as youthfully ouch;../fake-data/blob/hipster.png;image/png;18277;17910.82;17735.93;28192.95;7436.7;2023-12-27;2023-12-27;30333;16245.63;19190;5221;25315;MIDDLE;20644;13829.38;true;3
4;incidentally however;23154;18271;minus bah versus;8405;27759;gah;aboard;../fake-data/blob/hipster.png;image/png;18785;19691.59;9902.95;9974.85;16729.62;2023-12-28;2023-12-27;2191;5616.39;24593;18064;7490;WEAK;13477;6431.87;true;4
5;retaliate;5959;16916;whoa until;25599;5961;pish till superficial;oh when;../fake-data/blob/hipster.png;image/png;11274;16169.59;2775.77;1237.36;11016.05;2023-12-27;2023-12-27;27930;23814.76;32052;23292;9913;PERFECT;18238;5022.15;false;5
6;till;30903;20047;altruistic regularly;15383;20405;dishonest off-ramp;unpick with pricey;../fake-data/blob/hipster.png;image/png;107;26741.63;8290.51;17406.77;20924.75;2023-12-27;2023-12-28;4666;14150.11;27403;32036;11317;VERY_WEAK;31833;12860.8;true;6
7;corner the;24931;4974;link airspace;30270;19003;girdle;direct;../fake-data/blob/hipster.png;image/png;26768;15588.92;26027.77;8888.18;23067.19;2023-12-28;2023-12-28;24513;26086.85;19627;27603;18712;WELL;7447;25199.5;false;7
8;roughly;24570;3952;a where;19895;19776;fairly underneath;clueless happy fully;../fake-data/blob/hipster.png;image/png;29663;11134.83;2763.48;5520.77;31970.03;2023-12-27;2023-12-28;23502;22236.11;1273;30993;3997;WEAK;28976;17814.57;true;8
9;out speedily;21148;9848;between;22239;19621;upward evenly quick-witted;synchronise;../fake-data/blob/hipster.png;image/png;29848;18186.19;1663.41;32286.54;9472.84;2023-12-27;2023-12-28;27768;16752.15;22677;26418;12548;EXCELLENT;27845;12321;false;9
10;anti;9215;28677;pace emblazon;19382;31738;tale powerfully;till reader near;../fake-data/blob/hipster.png;image/png;24503;921.36;31254.7;32594.48;7348.94;2023-12-27;2023-12-27;13074;7217.63;17165;6876;18897;WELL;30021;14869.88;true;10
