id;name;display_name;api_uri;resource_type
1;denationalise spokesman;depth;quickly phew;DOMAIN
2;brr;before;recharge now;DOMAIN
3;sans why;quizzically lest;resound lest;PAGE_URL
4;woefully beautiful bottle;happy oh;er uh-huh fruitful;DOMAIN
5;mesh;when provided;wide drat lest;PAGE_URL
6;phooey starry;unequaled imperfect;whose;DOMAIN
7;triangular;round ack;reboot;COMPONENT
8;after;without fare;hidden joshingly;COMPONENT
9;closed whey;copy;at along;COMPONENT
10;ack;carefully ack drat;ideal mallet belie;PAGE_URL
