id;title;class_code;description;language_class_id;type_title;type_code;type_desc
1;estimate suddenly;acclaimed;incidentally promptly;18559;and;4963;beside venerated counseling
2;exactly;without eek;under;6457;giant invigorate;20061;instead bleed
3;starry;hiss;when frequent;13681;as;30694;hightail
4;playful times orderly;ouch kindhearted;browsing;28385;unacceptable;17930;criminal
5;dimly um;virtuous guilder intend;versus;1493;graduate often doll;11941;since nor pish
6;surprisingly realization;zowie ouch sans;villainous;23011;sans;3833;down
7;yum black quietly;beside who times;intrude astride;5707;until remnant whether;14589;dimly
8;before afore after;eager mope between;till;22741;elated;3976;forgo gosh
9;worth sore;besides recruit but;kit um as;29449;slime interrupt embellished;26285;cork
10;identical squander;times against;merrily while;238;amid highly roster;22516;alert principal
