id;trans_type_class_id;stock;description;deposit;withdrawal
1;7785;26161.55;consummate yuck;2227.87;10045.91
2;13921;22540.57;credential;8132.99;12512.71
3;30325;24283.02;ick triangular;24199.55;7506.91
4;4861;21253.77;pish what;537.68;22893.67
5;3629;3316.21;furthermore phew where;30172.48;24204.14
6;32136;26458.96;predecessor inwardly;4902.16;13525.93
7;12496;16084.03;below;4976.71;4536.14
8;5821;20761.97;cheesecake pug;13131.31;25169.35
9;19115;6955.11;sans understatement so;16187.6;25053.27
10;14626;29783.78;scatter hmph kite;22030.45;2978.11
